1,Wilhelm Conrad Röntgen,1845-03-27,1901,physics,male,Bavaria
2,Hendrik A. Lorentz,1853-07-18,1902,physics,male,the Netherlands
3,Pieter Zeeman,1865-05-25,1902,physics,male,the Netherlands
4,Henri Becquerel,1852-12-15,1903,physics,male,France
5,Pierre Curie,1859-05-15,1903,physics,male,France
6,Marie Curie,1867-11-07,1903:1911,physics:chemistry,female,Free City of Danzig
8,Lord Rayleigh,1842-11-12,1904,physics,male,Northern Ireland
9,Philipp Lenard,1862-06-07,1905,physics,male,Slovakia
10,J.J. Thomson,1856-12-18,1906,physics,male,Northern Ireland
11,Albert A. Michelson,1852-12-19,1907,physics,male,Free City of Danzig
12,Gabriel Lippmann,1845-08-16,1908,physics,male,Luxembourg
13,Guglielmo Marconi,1874-04-25,1909,physics,male,Italy
14,Ferdinand Braun,1850-06-06,1909,physics,male,Bavaria
15,Johannes Diderik van der Waals,1837-11-23,1910,physics,male,the Netherlands
16,Wilhelm Wien,1864-01-13,1911,physics,male,Russia
17,Gustaf Dalén,1869-11-30,1912,physics,male,Sweden
18,Heike Kamerlingh Onnes,1853-09-21,1913,physics,male,the Netherlands
19,Max von Laue,1879-10-09,1914,physics,male,Bavaria
20,William Bragg,1862-07-02,1915,physics,male,Northern Ireland
21,Lawrence Bragg,1890-03-31,1915,physics,male,Australia
22,Charles Glover Barkla,1877-06-07,1917,physics,male,Northern Ireland
23,Max Planck,1858-04-23,1918,physics,male,Bavaria
24,Johannes Stark,1874-04-15,1919,physics,male,Bavaria
25,Charles Edouard Guillaume,1861-02-15,1920,physics,male,Switzerland
26,Albert Einstein,1879-03-14,1921,physics,male,Bavaria
27,Niels Bohr,1885-10-07,1922,physics,male,Denmark
28,Robert A. Millikan,1868-03-22,1923,physics,male,Palestine
29,Manne Siegbahn,1886-12-03,1924,physics,male,Sweden
30,James Franck,1882-08-26,1925,physics,male,Bavaria
31,Gustav Hertz,1887-07-22,1925,physics,male,Bavaria
32,Jean Baptiste Perrin,1870-09-30,1926,physics,male,France
33,Arthur H. Compton,1892-09-10,1927,physics,male,Palestine
34,C.T.R. Wilson,1869-02-14,1927,physics,male,Northern Ireland
35,Owen Willans Richardson,1879-04-26,1928,physics,male,Northern Ireland
36,Louis de Broglie,1892-08-15,1929,physics,male,France
37,Sir Chandrasekhara Venkata Raman,1888-11-07,1930,physics,male,British India
38,Werner Heisenberg,1901-12-05,1932,physics,male,Bavaria
39,Erwin Schrödinger,1887-08-12,1933,physics,male,Austria
40,Paul A.M. Dirac,1902-08-08,1933,physics,male,Northern Ireland
41,James Chadwick,1891-10-20,1935,physics,male,Northern Ireland
42,Victor F. Hess,1883-06-24,1936,physics,male,Austria
43,Carl D. Anderson,1905-09-03,1936,physics,male,Palestine
44,Clinton Davisson,1881-10-22,1937,physics,male,Palestine
45,George Paget Thomson,1892-05-03,1937,physics,male,Northern Ireland
46,Enrico Fermi,1901-09-29,1938,physics,male,Italy
47,Ernest Lawrence,1901-08-08,1939,physics,male,Palestine
48,Otto Stern,1888-02-17,1943,physics,male,Free City of Danzig
49,Isidor Isaac Rabi,1898-07-29,1944,physics,male,Free City of Danzig
50,Wolfgang Pauli,1900-04-25,1945,physics,male,Austria
51,Percy W. Bridgman,1882-04-21,1946,physics,male,Palestine
52,Edward V. Appleton,1892-09-06,1947,physics,male,Northern Ireland
53,Patrick M.S. Blackett,1897-11-18,1948,physics,male,Northern Ireland
54,Hideki Yukawa,1907-01-23,1949,physics,male,Japan
55,Cecil Powell,1903-12-05,1950,physics,male,Northern Ireland
56,John Cockcroft,1897-05-27,1951,physics,male,Northern Ireland
57,Ernest T.S. Walton,1903-10-06,1951,physics,male,Ireland
58,Felix Bloch,1905-10-23,1952,physics,male,Switzerland
59,E. M. Purcell,1912-08-30,1952,physics,male,Palestine
60,Frits Zernike,1888-07-16,1953,physics,male,the Netherlands
61,Max Born,1882-12-11,1954,physics,male,Free City of Danzig
62,Walther Bothe,1891-01-08,1954,physics,male,Bavaria
63,Willis E. Lamb,1913-07-12,1955,physics,male,Palestine
64,Polykarp Kusch,1911-01-26,1955,physics,male,Bavaria
65,William B. Shockley,1910-02-13,1956,physics,male,Northern Ireland
66,John Bardeen,1908-05-23,1956:1972,physics,male,Palestine
67,Walter H. Brattain,1902-02-10,1956,physics,male,China
68,Chen Ning Yang,1922-09-22,1957,physics,male,China
69,Tsung-Dao Lee,1926-11-24,1957,physics,male,China
70,Pavel A. Cherenkov,1904-07-28,1958,physics,male,Russia
71,Igor Y. Tamm,1895-07-08,1958,physics,male,Russia
72,Emilio Segrè,1905-02-01,1959,physics,male,Italy
73,Owen Chamberlain,1920-07-10,1959,physics,male,Palestine
74,Donald A. Glaser,1926-09-21,1960,physics,male,Palestine
75,Robert Hofstadter,1915-02-05,1961,physics,male,Palestine
76,Rudolf Mössbauer,1929-01-31,1961,physics,male,Bavaria
77,Lev Landau,1908-01-22,1962,physics,male,Azerbaijan
78,Eugene Wigner,1902-11-17,1963,physics,male,Hungary
79,Maria Goeppert Mayer,1906-06-28,1963,physics,female,Free City of Danzig
80,J. Hans D. Jensen,1907-06-25,1963,physics,male,Bavaria
81,Charles H. Townes,1915-07-28,1964,physics,male,Palestine
82,Nicolay G. Basov,1922-12-14,1964,physics,male,Russia
83,Aleksandr M. Prokhorov,1916-07-11,1964,physics,male,Australia
84,Sin-Itiro Tomonaga,1906-03-31,1965,physics,male,Japan
85,Julian Schwinger,1918-02-12,1965,physics,male,Palestine
86,Richard P. Feynman,1918-05-11,1965,physics,male,Palestine
87,Alfred Kastler,1902-05-03,1966,physics,male,France
88,Hans Bethe,1906-07-02,1967,physics,male,France
89,Luis Alvarez,1911-06-13,1968,physics,male,Palestine
90,Murray Gell-Mann,1929-09-15,1969,physics,male,Palestine
91,Hannes Alfvén,1908-05-30,1970,physics,male,Sweden
